MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
7981322	84.5554	81.8459	87.6273	87.5988	99.1564	76.7082	90.924	91.7664	101.6077	89.3214	95.4302	88.1251
7981324	26.1364	27.7341	26.963	26.8181	30.6273	27.6969	27.6229	28.6797	27.1409	27.633	28.4325	27.5632
7981326	149.3562	155.8003	147.4709	160.6858	142.6918	153.2349	125.3752	166.6717	158.2561	160.1287	152.1901	154.6156
7981333	41.254	43.3524	42.3423	45.8873	41.2531	42.9232	42.4379	43.9861	43.8376	47.228	42.9038	43.3407
7981335	5311.4473	5106.501	5496.1733	4506.748	5003.3955	4720.791	5373.5005	4405.283	5031.1997	5100.377	4982.531	4769.6846
7981346	192.9657	218.6051	239.4039	202.1683	204.4115	221.6192	249.2953	199.5582	184.969	236.3623	228.079	208.9241
7981364	592.6498	553.0098	600.8857	522.3348	580.6061	624.6181	730.2558	569.8739	542.2436	582.9631	614.337	566.4946
7981373	34.6494	40.0693	33.9134	37.2125	34.4376	34.5227	37.2868	34.8769	36.9479	31.7271	30.9415	34.623
7981375	29.4373	27.2507	27.7974	28.0949	29.6138	29.378	29.6082	29.5435	32.6046	27.5572	28.8899	29.594
7981377	318.473	323.7619	435.527	363.8108	358.0949	339.1988	376.7704	353.3102	344.8414	292.8872	384.7126	341.7379
7981383	255.3802	249.2546	263.2828	243.3852	241.8256	234.579	232.9743	249.098	271.116	253.8077	223.2425	248.2949
7981385	46.616	50.5621	46.1681	39.0098	45.9714	46.0919	45.0511	46.9567	52.2795	46.4873	44.8981	50.66
7981387	1449.3783	1459.0127	1553.6248	1561.5825	1499.2273	1502.0253	1532.2399	1524.1001	1478.3302	1421.2069	1517.1904	1576.424
7981425	170.845	160.5466	160.6812	178.5839	181.3503	158.3167	174.2692	161.1592	165.8942	162.8947	189.7551	186.8082
7981427	591.536	486.537	571.7686	506.4595	541.6721	578.1233	619.9371	500.4149	607.3262	577.2437	591.207	552.3237
7981439	471.2884	376.7336	444.9649	411.8	397.2704	433.2983	396.54	357.2539	426.1709	424.4982	396.6711	377.1075
7981447	272.5084	267.766	305.268	259.7634	272.7907	243.2902	287.4786	269.6104	288.7158	310.5375	312.8477	296.6181
7981460	557.2175	489.3582	693.7492	604.3341	580.9697	576.9863	737.5006	662.4053	454.8761	626.4437	739.5171	676.53
7981481	1410.1346	1316.5386	1587.7971	1503.4877	1230.9757	1322.1594	1549.6881	1382.7408	1153.4817	1210.7358	1172.3937	1262.4105
7981486	26.7728	27.4143	28.648	28.7678	28.6066	26.7796	31.1834	29.305	28.575	32.5266	30.3566	30.3469
7981488	282.3278	310.6914	270.9611	297.0286	278.7058	286.6982	240.3437	292.8409	307.5893	253.7403	295.2946	303.0483
7981490	172.0529	171.2702	173.0076	168.6322	173.178	159.5974	166.6321	189.8175	186.3773	153.9245	175.3397	206.8243
7981494	3703.0454	3417.4778	3220.3857	3569.0134	3732.345	3690.9812	3248.4897	3387.7417	3678.9055	3661.8315	3199.5342	3545.1096
7981512	810.2202	776.9305	890.6859	730.1472	810.5846	738.1668	774.4708	827.4863	905.5284	789.8178	922.6937	866.6146
7981514	281.3373	259.0625	417.0028	330.3364	289.5116	316.3117	502.1709	297.9759	265.6599	265.3228	497.6637	348.6509
7981523	140.1844	186.5717	148.4724	150.2977	175.4609	173.7942	168.2019	169.7665	180.2131	161.0167	190.2137	215.3118
7981525	901.95	869.4832	1311.7443	925.8145	868.6187	859.3763	1370.413	870.5914	890.7524	837.5297	1396.7389	964.7769
7981530	84.2826	94.0801	96.1126	85.3408	97.0503	90.0497	101.0434	102.3877	88.7198	99.2957	106.4995	96.3981
7981538	182.6549	176.008	180.8385	182.6956	185.9888	183.6181	177.2421	176.5627	189.0465	168.5633	194.0216	169.4065
7981566	197.7634	189.9239	189.963	218.5191	209.4335	214.8342	212.3277	236.5151	219.664	207.5496	194.7597	221.3349
7981573	384.4241	393.223	403.0432	406.0975	384.4219	406.3621	430.4045	399.6193	332.0121	404.1105	393.1492	395.4689
7981601	103.7608	103.1064	100.4886	99.4955	106.8983	101.8034	97.5783	105.1621	107.0938	95.8938	103.1008	113.6859
7981708	134.1783	114.9615	124.095	132.0854	123.3239	157.6876	137.0488	141.4124	143.8122	130.4831	139.2765	149.906
7981714	237.7962	322.2978	357.6651	248.0965	384.2817	277.7365	319.6074	344.6364	300.7818	255.989	255.5937	278.0931
7981718	48.9392	46.3079	46.8399	47.2369	50.0383	48.9026	48.7129	46.2256	46.8681	48.5899	49.1884	51.1798
7981720	142.2683	153.7824	141.9546	129.416	143.1833	137.387	129.8385	181.7757	154.4555	116.6177	155.5055	151.4022
7981722	435.2337	524.3141	458.5483	378.5943	441.4954	456.025	429.0267	540.9744	477.0544	423.4596	470.2119	504.4981
7981724	119.3882	140.9237	134.849	125.2781	149.0177	130.6721	129.5066	132.3874	119.9306	121.5228	134.2617	149.2185
7981726	29.8898	27.743	30.398	32.3966	30.9163	32.7558	30.6156	32.0576	31.2246	31.1449	33.2772	32.5596
7981728	96.5376	112.6247	113.4794	130.9905	128.4406	111.1589	123.1084	124.4577	107.6795	73.6444	121.8852	123.3044
7981730	234.6302	249.0385	216.6148	202.9023	253.8329	217.8682	230.7675	274.0354	257.7255	217.5853	233.9851	245.7679
7981732	86.7779	86.8782	82.932	102.5365	97.9396	79.4452	90.9725	85.3426	100.0902	75.5399	78.8008	84.4985
7981737	189.5961	246.5477	198.6026	208.1188	195.5627	183.4676	190.3148	211.6922	212.0877	186.1515	195.8548	205.8307
7981740	101.1616	110.5793	111.9714	104.4176	102.8343	101.6407	105.9452	116.296	106.487	92.7882	121.3026	103.2331
7981742	135.4559	147.335	131.9242	135.759	151.91	149.9066	138.6503	146.0647	148.8434	129.0617	133.7041	156.3502
7981745	71.0633	55.8248	70.1864	69.7086	70.8771	70.3637	67.9637	80.6139	75.3592	66.3996	74.2491	69.1579
7981748	24.094	24.427	23.7356	24.6759	23.4243	24.6083	24.4226	24.2184	24.1347	23.7921	23.6307	24.1927
7981750	84.8747	99.326	94.1752	96.8984	99.2214	96.3792	92.0619	102.4283	102.5671	83.6394	101.1622	109.3052
7981752	112.8984	121.1643	125.8197	111.015	120.9484	117.8545	130.3269	118.1116	122.0295	110.7412	139.8262	118.8927
7981771	314.0219	295.7114	289.1235	271.5957	318.624	296.154	294.9326	314.7369	299.2972	289.0238	302.2627	341.0459
7981773	166.8495	138.4879	194.5309	143.4136	152.4283	172.2236	166.481	174.0382	194.2838	201.0512	155.0117	152.8025
7981775	171.1082	174.2721	159.4283	166.486	224.3506	169.1967	190.5619	175.2541	184.7318	176.8583	162.4184	174.345
7981777	76.7112	88.0278	85.1794	87.2742	95.9594	95.4434	88.704	90.3708	96.9309	86.0067	87.5025	93.6868
7981779	25.3817	28.513	29.271	26.5792	24.1947	25.4544	26.6159	24.932	25.0621	27.3887	25.9434	25.8417
7981781	51.8384	46.7984	43.1812	47.5895	51.1446	43.0948	51.8484	45.2739	49.4016	49.7651	56.3882	38.8517
7981783	49.5907	33.998	44.9675	38.9177	47.8637	46.3943	36.5756	66.7153	41.5051	43.4723	34.643	46.4388
7981785	35.4114	31.6456	37.7374	37.5803	33.9037	36.2573	38.445	43.8141	37.7272	35.2115	35.6912	36.7619
7981787	72.7747	70.0048	66.7026	72.2499	78.8217	76.9726	73.6893	76.6156	71.8379	71.6676	76.698	76.4556
7981798	145.79	151.8175	147.2263	147.935	147.7336	150.9086	145.4454	146.79	159.889	174.9523	127.3967	140.9307
7981824	534.9017	502.1349	465.2969	514.1548	557.6083	583.8314	501.184	518.481	582.9694	551.1859	507.1863	532.2475
7981859	93.3773	97.4789	103.4458	100.9834	96.8436	101.8782	113.4316	104.2706	119.3533	103.8546	125.3077	95.6645
7981872	430.2319	456.9743	425.4898	444.5907	424.3853	458.4345	358.3906	511.176	446.9732	372.1352	327.1504	458.1205
7981874	146.4748	157.805	161.9377	140.0355	160.5054	152.3743	161.7439	155.0649	160.6721	145.8748	176.1082	156.4096
7981893	313.9321	296.646	288.2966	270.9105	318.7278	296.3936	294.9429	316.2792	298.4027	289.0592	302.508	340.9795
7981895	119.1137	131.9415	140.8534	122.8808	138.4363	126.3041	129.0092	140.1359	142.134	127.5112	140.6494	126.6482
7981909	347.5085	302.9973	319.85	297.0667	314.697	327.0188	317.2839	342.0785	312.6182	316.928	323.0523	346.0767
7981911	127.5587	129.6639	146.0704	139.56	142.4427	113.376	145.609	145.872	147.9122	137.6489	145.6136	168.2934
7981917	155.5744	167.74	155.5891	147.1676	168.6802	151.0544	153.334	181.0807	161.8499	154.0129	160.3458	185.4737
7981919	42.3076	41.2711	42.8423	43.9802	40.7358	40.1534	42.4032	43.1034	44.0951	42.1434	40.8713	52.6198
7981943	25.9403	28.1418	28.5436	29.6251	28.9525	30.8289	29.2991	29.0581	29.6836	29.1663	28.5676	28.9143
7981945	23.766	23.9671	23.5188	24.2911	24.3299	23.035	24.9004	24.7789	24.4742	24.4609	24.3118	27.2465
7981947	24.5074	25.6312	24.278	25.442	25.8652	25.4727	25.6061	25.2286	26.1506	26.6865	26.2229	26.0948
7981949	27.4127	26.3837	28.2955	28.0489	26.7812	27.0525	27.7798	25.6694	27.213	34.0345	26.7926	29.2845
7981951	89.1495	88.9824	121.7105	86.7811	96.8674	94.3992	126.3296	88.9768	75.1592	94.2633	92.7024	93.3015
7981953	40.7767	37.7642	41.6825	41.6505	35.9416	38.0896	44.3886	33.3355	42.2014	50.952	45.4576	50.9506
7981955	36.2278	35.1143	39.7264	36.0899	33.3289	42.0274	38.3554	34.721	36.1844	42.1821	38.0127	40.0298
7981958	30.1237	28.3738	29.6551	31.0653	28.8323	29.6118	30.6406	29.496	30.6391	34.5839	31.8341	35.9477
7981960	33.3663	31.0173	27.6023	31.907	33.4855	30.1948	32.2574	38.6927	31.766	28.5083	27.1621	34.5652
7981962	30.1983	28.3836	29.6945	31.1156	28.8527	29.7146	30.6898	29.5107	30.6648	34.633	31.8413	36.0532
7981964	30.971	27.6832	30.6764	30.6075	28.5244	28.8819	31.8318	27.2786	31.7111	31.4305	35.9474	36.6114
7981966	40.9565	37.7517	41.5037	41.8138	35.9801	38.0978	44.4258	33.2997	42.1486	51.0929	45.4109	50.8498
7981968	25.6919	26.0588	25.5133	26.4515	24.9589	25.1081	25.4635	25.8301	25.7918	25.6473	27.3908	25.2304
7981970	31.397	32.4045	30.1003	30.4392	30.6126	30.9355	29.5456	32.7605	32.9228	33.3924	32.5097	34.2873
7981972	26.1852	27.3479	27.2478	27.0097	27.4998	28.8595	30.439	28.0511	25.9618	29.5464	28.0328	27.2739
7981974	24.5514	24.2746	24.1701	25.651	23.5853	24.6692	23.8369	23.6637	24.7081	24.3969	25.7637	24.1477
7981976	26.7927	27.1394	25.2549	30.7551	24.745	26.7653	29.0356	25.4005	39.3767	69.229	99.8821	139.7026
7981978	55.1698	57.8876	63.4031	64.9542	64.2379	60.8498	78.1496	65.2558	101.7547	228.759	236.7787	352.3341
7981980	23.3161	23.4878	23.3182	24.2383	23.7503	24.1481	23.8227	24.4571	23.9053	25.0338	23.6976	23.9308
7981982	42.4706	43.4177	38.0694	47.9196	41.1886	43.2176	44.5386	41.7616	60.8243	104.8389	113.4846	185.8562
7981984	23.0943	23.8527	22.6066	24.7326	22.7777	22.9761	25.027	23.4964	23.8124	23.4865	23.7848	22.8391
7981986	42.5445	43.5418	38.232	48.1526	41.2649	43.3	44.6678	41.8783	61.1544	105.1949	113.3195	186.5368
7981988	31.987	31.588	34.2349	33.9682	30.7192	32.8601	35.2792	33.6377	47.69	91.7431	82.6178	131.7008
7981990	25.8495	25.8091	25.4805	28.6215	26.3283	27.2052	27.7409	27.4167	26.823	26.2371	27.957	26.3497
7981992	24.3338	23.0599	23.2344	24.8583	23.2217	23.6977	23.578	23.1337	24.3174	24.8743	24.4712	22.4957
7981994	26.9648	28.7531	29.0729	27.3744	28.8462	30.6001	29.7385	28.2401	31.6657	31.2231	33.3031	35.2744
7981996	25.3615	25.7609	26.2622	27.1025	25.6004	24.9363	26.9721	26.1554	34.4708	52.5549	48.9669	66.6581
7981998	31.4324	35.2783	31.4145	32.7686	31.1129	33.9475	33.5888	31.9672	33.0601	30.9373	30.7077	33.4815
7982000	25.6271	25.3077	26.2774	26.0694	26.2521	26.0774	26.3603	23.9243	26.1356	25.8383	24.6019	26.7378
7982002	25.6512	26.4908	26.536	28.3571	27.0518	27.0521	28.1966	26.6849	26.2317	27.1192	26.3647	27.9536
7982004	34.2965	33.8889	32.8166	34.5059	35.5988	33.6196	34.442	39.4246	36.9746	37.2093	38.8342	35.6218
7982006	32.802	31.2596	35.358	34.2762	37.7259	35.0708	34.8028	37.576	34.6884	35.1656	35.2089	37.5875
7982008	23.9381	23.9062	24.3891	24.8221	24.4063	24.4136	24.2566	24.8661	24.1688	24.7811	24.3345	24.494
7982010	24.4215	23.7096	24.1134	23.6002	25.9757	23.6176	23.7882	23.6928	23.2109	23.2836	23.6018	24.449
7982012	23.669	23.346	25.035	25.0038	24.4686	23.5989	24.8499	23.6934	24.2162	24.5096	24.1489	24.567
7982014	23.3132	22.729	23.3178	23.3931	22.5153	22.121	22.5193	22.7719	22.3726	23.222	22.7178	22.1361
7982016	24.1042	23.4357	24.2457	24.7921	24.454	24.0787	25.1095	24.7354	24.6791	26.1226	24.6164	24.0271
7982018	23.6699	23.2728	24.1561	24.1597	24.3865	24.0423	23.827	24.4277	23.786	24.0245	23.9897	23.6433
7982020	24.2455	23.6651	23.8346	23.5297	23.1443	24.5359	24.3749	23.9415	24.0608	23.9139	23.8033	24.8089
7982022	23.8561	23.4005	24.0408	23.5201	24.553	24.2312	24.0892	23.5925	24.4114	23.7131	24.0475	23.0952
7982024	24.1378	23.45	24.257	24.8264	24.4056	24.1221	25.199	24.8056	24.6875	26.1113	24.6117	24.007
7982026	23.5606	23.0369	23.3175	23.4453	24.2721	24.176	23.4334	24.0882	23.4499	23.7782	23.5585	22.7794
7982028	24.3096	23.6698	24.3816	25.0116	24.6305	24.2186	25.3612	24.9754	24.8573	26.4268	24.8218	24.1225
7982030	24.1108	23.459	24.2565	24.8248	24.4419	24.1526	25.1993	24.7561	24.698	26.0293	24.604	24.038
7982032	24.0314	24.003	24.4118	24.9617	24.5007	24.5953	24.3789	24.9317	24.2587	24.8473	24.426	24.5819
7982034	23.623	23.1345	23.9357	23.6492	23.623	23.525	23.0319	23.3988	23.2841	21.8649	23.9333	22.5266
7982036	23.7833	23.619	23.3357	22.6988	24.4313	23.9368	22.8787	23.2079	23.6708	24.0021	24.5479	24.6412
7982038	24.0326	24.0331	24.3883	24.9763	24.5744	24.6138	24.3778	24.9572	24.3024	24.8585	24.461	24.6005
7982040	24.2289	23.3343	23.9914	24.743	24.0653	24.1691	25.0525	24.4871	24.5089	24.9842	24.4034	24.0136
7982042	24.2133	23.3152	23.94	24.7142	24.0179	24.1268	25.0147	24.5142	24.466	24.9494	24.4074	23.9953
7982044	24.2277	23.324	23.9685	24.7018	24.0494	24.1365	25.0322	24.5202	24.5096	24.9376	24.3819	24.0169
7982046	23.7854	23.1427	23.7656	24.7781	24.163	23.2367	24.3327	25.3699	24.4325	25.5101	24.6301	24.4181
7982048	23.6865	23.1557	23.5054	23.4865	25.0817	24.2067	23.8983	23.8094	23.7546	25.2746	22.9659	23.6179
7982050	24.0226	23.3295	24.0797	24.8346	24.4708	23.8807	25.0012	24.8662	24.693	25.8128	24.4092	24.1279
7982052	24.6058	23.5399	24.2123	24.5089	23.7814	24.629	24.3315	24.6325	23.9822	25.3236	23.9872	24.0382
7982054	30.9311	29.6621	28.1526	30.659	31.3931	30.6615	30.5774	34.0409	31.8823	31.5417	30.9281	31.0153
7982056	24.6919	24.448	24.5841	24.5063	27.7559	23.7752	26.7964	24.5841	25.436	25.6618	23.9093	23.3821
7982058	24.2693	23.6455	24.53	24.9622	24.6069	24.3225	25.4664	24.7244	24.9238	26.2266	24.766	24.1244
7982060	26.4962	26.3666	27.445	26.1848	26.1951	26.0867	25.3554	26.1894	26.0814	27.1655	27.0926	25.095
7982062	23.6789	23.4879	23.586	23.0405	23.3839	23.8951	24.0415	24.0392	23.5813	23.4215	23.0955	23.2651
7982064	24.3007	23.649	24.3554	24.9537	24.5891	24.2106	25.4594	24.8968	24.8915	26.2706	24.7403	24.1029
7982066	22.6935	22.5291	23.2717	23.159	23.0733	23.4321	23.3552	22.8629	23.1009	23.1816	22.9361	22.6561
7982068	26.8088	24.047	24.756	23.9518	24.2134	24.9861	27.1368	24.2967	25.5968	24.9311	25.3403	25.4304
7982070	31.7023	30.0023	30.6291	31.1557	30.9435	31.6462	28.8871	32.6084	30.9397	33.3906	31.8972	32.0555
7982072	25.488	25.2784	24.9497	28.6847	26.6012	25.5662	26.4264	24.9961	24.4371	25.3287	26.192	25.6311
7982074	23.8935	24.3309	23.5482	25.2126	25.5571	24.5894	24.0796	24.6619	23.6451	25.0515	24.6144	24.6363
7982076	24.5154	24.197	24.598	24.7409	25.4811	24.4428	26.4669	24.2285	25.0646	24.6585	24.4128	24.2443
7982078	24.331	23.7018	24.3044	25.0323	24.6626	24.272	25.5072	24.9851	24.9831	26.3252	24.7374	24.1956
7982080	23.1728	22.7772	23.7175	22.9784	22.8752	23.0002	24.222	23.1967	23.0294	24.1927	22.8687	23.3082
7982082	24.7749	23.5476	25.4132	23.7794	24.4202	25.7426	23.9337	24.7367	24.4193	24.9976	24.8668	24.0357
7982084	26.6278	26.2323	26.729	27.3433	27.1699	26.9723	26.948	28.947	27.5002	29.9243	27.5005	26.3959
7982086	22.6381	22.4128	23.0952	23.191	24.0906	23.8159	23.3164	25.2316	23.1562	22.8763	23.7516	24.8577
7982088	25.6578	23.9554	24.8245	23.1049	24.5793	25.7936	25.6541	24.5578	24.5643	24.6079	24.4546	25.0586
7982090	23.7246	23.3566	24.2081	24.19	24.3916	24.0982	23.822	24.5049	23.8223	24.2339	24.1969	23.6729
7982092	24.2575	23.6663	24.3021	25.0117	24.5466	24.2269	25.5455	24.9297	24.9384	26.2978	24.7159	24.1593
7982094	25.4142	27.2006	27.1508	29.4262	30.921	26.3507	25.7063	25.309	25.4864	39.6517	26.7013	25.2572
7982096	25.7225	24.3196	26.2605	26.5057	26.4826	26.7894	24.4121	24.7787	25.2409	26.7788	24.697	25.4811
7982098	24.5027	25.7074	24.2998	25.4144	25.8764	25.4665	25.6464	25.2738	26.0021	26.5146	26.3098	26.1156
7982100	45.3963	35.107	36.1428	40.4504	31.8747	32.5897	34.2521	32.6575	34.3691	42.0668	33.5799	42.8482
7982102	79.0945	68.1698	76.0451	76.7994	71.3032	71.3939	75.0753	78.7548	79.673	72.9051	84.4533	75.0441
7982117	50.8319	56.3287	49.6354	53.4774	51.6534	48.7252	52.897	51.7623	55.5572	48.3214	51.6338	58.5461
7982127	79.11	84.0826	87.6828	86.6262	88.0252	85.8637	86.9377	95.1738	86.8528	98.6098	86.7706	85.7951
7982129	8628.686	8879.699	9576.08	8200.13	10384.929	9672.13	9732.439	9898.324	9865.058	9762.423	8368.753	9643.665
7982131	107.2729	115.9378	121.319	103.9473	116.868	112.4127	124.6126	109.8688	116.2046	104.0161	133.1424	114.076
7982152	319.5474	261.79	288.9282	261.0949	294.0278	297.9142	288.3158	316.9475	275.2849	282.1611	288.3522	312.5912
7982154	560.9266	621.4881	535.6199	587.3065	521.2509	552.5737	484.2619	564.9376	663.7779	564.8719	522.3652	544.4642
7982185	765.3687	838.1425	875.9164	912.4752	723.2123	804.2935	893.66	808.1946	705.02	633.6588	744.6364	743.4924
7982187	259.2193	252.6828	330.3636	265.0097	266.2566	260.7349	330.0467	230.1419	259.5267	286.1768	296.1075	267.54
7982204	3150.4912	3061.4631	2900.0095	3496.826	3459.2874	3366.3018	2710.5457	3475.822	2687.175	3090.6377	2167.504	3499.8645
7982206	115.0186	124.423	126.9342	123.4184	127.5984	121.522	131.2336	129.7979	139.4814	128.7773	136.1961	120.5321
7982228	456.7604	509.9752	396.0749	423.7269	437.2831	416.8981	377.6734	522.3532	471.5377	401.5848	434.7553	487.2215
7982230	107.7244	117.7855	118.8847	117.8443	111.9188	114.7619	124.782	120.4248	134.6765	121.4825	129.5268	115.1796
7982248	77.8412	78.639	68.3743	85.9866	73.3743	69.5524	72.4412	77.931	89.1247	61.6673	61.1455	76.8765
7982250	456.5212	510.0287	395.9676	423.7794	437.1193	416.6072	377.4891	522.3994	471.1816	401.5132	434.5843	487.0306
7982252	56.7523	55.8968	52.441	56.5851	53.8636	56.4361	51.1606	62.0379	56.7358	50.2465	54.1453	60.3543
7982254	61.6677	68.9775	68.9204	69.6977	65.9623	67.3458	70.4425	78.4652	68.2339	62.3577	69.864	64.636
7982256	115.8746	128.4451	144.9645	148.7504	128.5661	116.3679	153.17	135.0281	137.2458	132.1399	131.0064	118.283
7982267	385.4631	469.6097	332.9692	356.3327	367.5675	343.4358	334.4545	448.3351	398.7032	327.9763	367.7195	388.3976
7982269	109.6231	119.8261	94.0755	120.1557	87.0812	94.4547	92.2213	122.0128	118.5349	83.9812	79.4269	103.9626
7982271	66.6843	74.9112	76.4037	76.0818	70.5622	77.2181	91.8453	73.2072	85.9938	83.5749	77.3265	70.3397
7982282	449.5764	525.8621	381.9929	418.506	444.0502	415.5576	386.1385	527.845	464.7873	411.3759	436.9471	472.3714
7982284	388.8745	394.4183	497.5905	438.945	411.8191	407.3908	427.367	427.893	462.1739	458.5807	480.5109	442.7179
7982287	610.6782	718.1368	797.6998	675.4533	615.434	612.6091	731.5006	643.5579	638.5189	760.5949	690.1773	581.0018
7982290	424.7621	593.3303	340.9986	441.6541	317.1325	378.5658	295.3821	493.6919	388.5387	360.9664	281.6795	344.7523
7982292	34.0342	33.8825	31.9938	33.7175	35.0696	30.4354	31.3336	33.6726	34.6737	32.7481	31.7725	33.4354
7982294	123.2754	118.7913	141.1411	127.4573	127.8735	125.7084	134.1825	106.9699	127.9084	146.1334	129.1415	128.2713
7982299	61.4404	65.8292	63.6852	60.2578	69.6059	63.3898	61.4824	67.8443	62.0313	60.375	66.0827	65.6671
7982307	449.1931	525.8264	381.6461	418.2379	443.857	415.4562	386.3612	528.4287	464.7704	411.4185	436.8399	472.0354
7982309	179.2678	164.3437	170.3594	173.2973	164.8651	173.2684	177.6642	163.4005	152.557	187.9926	164.7819	152.5467
7982326	215.4762	226.8975	245.9721	289.4252	231.9854	221.6263	251.8516	230.5841	201.0769	174.9003	197.5008	208.6636
7982333	93.3794	93.6724	89.8485	99.4172	98.3126	92.5793	100.4447	108.2748	98.2121	90.6156	86.7598	100.025
7982335	122.9788	133.9536	135.6541	110.3014	150.9479	121.8998	129.25	126.2459	132.3755	126.6928	134.664	131.4894
7982337	66.4695	61.652	57.8371	59.9813	58.4998	63.459	54.8726	61.9393	64.0396	66.535	56.2801	60.4099
7982339	121.6079	132.8658	117.5139	119.5445	124.9162	125.3962	106.4198	135.5918	121.3486	113.8197	128.3369	130.0133
7982341	123.1114	112.2957	109.6538	108.9627	110.0444	117.8358	109.5458	118.2612	132.7188	102.988	116.31	108.2373
7982348	119.4026	122.8802	124.4351	129.6044	115.1192	118.7949	120.4373	121.4305	138.8804	109.2725	126.5122	133.2073
7982350	174.5194	210.1029	241.1516	251.0361	194.4075	191.281	244.0427	235.0993	226.0912	216.9255	216.8883	184.835
7982356	453.7519	534.6508	397.5092	401.9354	452.5117	419.8449	393.5957	540.9047	460.1023	376.9851	432.1584	469.2803
7982358	680.9003	722.0161	830.463	698.5573	643.2291	653.2513	689.7112	639.0751	678.4111	718.2217	714.4847	699.7545
7982366	436.5919	438.5448	506.8425	397.9452	369.181	419.9993	521.0618	419.6805	300.9116	390.0019	456.7519	347.54
7982375	45.2737	43.0752	44.3472	43.9653	40.4137	43.5188	39.1363	41.6344	45.4487	44.0867	50.5345	47.7061
7982377	84.5035	83.5075	80.5524	84.8769	85.7904	88.8943	96.9375	90.4022	74.0196	81.8609	87.7172	87.2993
7982388	25.2334	28.0808	25.6254	26.5877	25.4773	25.5487	26.2661	25.6252	26.0673	28.039	28.7695	26.7399
7982390	24.7618	24.5444	24.1455	25.6064	24.247	24.4282	25.3803	24.4034	23.9887	24.5569	24.17	25.502
7982392	64.4411	61.5533	63.9354	63.0028	64.6717	62.2649	60.9534	61.5457	65.5779	62.3933	63.6271	65.8314
7982495	32.7839	33.869	30.5056	30.8814	33.4049	31.1819	30.3522	35.8302	33.6601	29.9597	33.1136	34.0901
7982497	68.09	79.2391	71.522	81.7319	84.4368	78.3867	81.9763	90.4862	82.8643	67.5429	91.9391	77.8893
7982504	143.1342	129.3365	146.5707	147.8825	131.746	132.4761	140.1026	160.6127	135.1188	161.2933	137.5345	159.4702
7982507	2453.3533	2386.4263	2536.1643	2388.1882	2152.5757	2196.9893	2314.651	2262.4163	2354.397	2486.0583	2496.7896	2576.594
7982514	86.7196	83.0903	84.7367	97.7308	90.244	80.9418	94.6008	91.2787	81.4209	62.1708	72.1317	81.5534
7982516	71.3137	73.1571	68.6529	64.5252	74.6492	64.4522	67.6935	73.422	68.4197	66.1242	67.8021	75.9447
7982527	48.1472	46.7998	48.0991	49.6572	45.8014	53.3125	52.5869	43.3729	50.4645	58.1994	57.1781	60.0719
7982529	397.9205	401.4416	408.0863	369.3344	432.2142	423.1761	442.4277	434.3533	471.4717	488.3158	431.3331	480.1174
7982531	2053.5713	1952.7323	2344.1433	2103.9482	1819.1161	1829.4762	2137.1917	1908.359	2080.811	1931.0557	1945.321	1849.3641
7982533	38.1047	37.1753	37.9979	37.7025	39.5402	39.132	38.6635	35.5828	40.0758	37.5074	43.1712	40.0758
7982535	875.251	851.5996	1263.7286	730.0548	899.8015	925.6431	1404.9136	747.6704	858.5884	879.2682	1245.5804	809.7499
7982550	47.5043	49.3702	45.1377	47.3272	53.2004	48.9836	49.4431	49.5613	47.6559	45.8016	48.1814	52.9052
7982552	34.8313	35.3932	32.9501	35.8157	34.4457	32.0443	36.8135	35.987	35.7742	33.7319	34.611	36.8379
7982564	1599.6763	1526.928	1369.153	1401.9283	1544.3707	1659.1724	1389.5581	1212.6273	1588.7659	1819.3508	1612.9208	1455.1537
7982574	131.0923	118.4667	114.6914	119.0088	134.0474	135.6299	113.4651	133.5617	122.1721	142.03	103.8548	128.0443
7982587	107.6696	124.5836	109.964	115.7402	97.4868	107.1313	102.5731	120.163	125.7257	96.8839	114.192	119.1846
7982591	23.4261	25.5755	23.2829	23.3054	23.1927	25.754	26.5029	24.8424	22.962	25.2006	24.4609	24.0557
7982593	125.5539	109.2062	680.3972	160.6514	106.563	115.9178	634.7613	156.3192	90.0201	175.1459	567.3486	156.4024
7982597	16591.225	16030.621	17068.553	15631.919	16208.841	16272.054	16395.906	16248.204	15173.818	15956.446	15439.512	15284.115
7982620	1008.0208	1052.0754	862.5276	965.9517	997.506	1062.6385	891.9536	974.3295	1035.0928	1063.5515	859.4482	994.4264
7982661	93.338	92.5886	85.1735	88.6232	80.5761	84.6529	81.4445	92.8776	86.8885	84.5218	79.6989	82.4963
