MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
7897172	468.5208	405.4837	298.8478	530.3175	455.1509	453.5835	299.4632	472.707	436.5971	432.848	286.1419	490.0718
7897179	217.4019	213.3615	224.4908	224.3082	263.0206	252.1675	226.2484	254.6441	239.3471	243.7922	248.8645	247.0398
7897196	116.8304	109.8378	99.5257	109.8012	121.1292	111.8318	103.4733	120.7812	119.2734	102.83	111.3735	123.0887
7897210	148.059	140.0564	133.9848	129.5169	137.0876	155.3042	132.7936	140.0889	165.3028	136.9259	158.754	153.8584
7897227	62.3732	63.0995	53.9008	62.3301	66.1217	63.6675	58.1669	65.9899	74.0973	60.2451	71.1582	73.9256
7897236	378.0576	358.649	417.5864	400.773	406.7171	422.9551	424.858	398.2819	459.5352	446.3361	451.7022	433.0542
7897257	240.4224	224.5166	232.095	238.5999	236.7829	231.4276	211.7836	254.881	278.8451	244.3866	211.3678	244.7625
7897263	260.5187	256.1513	238.7732	251.1808	243.6156	243.6293	235.0022	270.4799	249.0229	266.4832	267.1779	257.5382
7897277	146.8093	133.464	174.2057	144.6242	148.9339	138.7503	157.7157	175.7609	148.5593	133.437	155.5735	139.8869
7897280	134.5241	141.1333	145.5827	144.9516	172.419	153.1606	157.303	168.2528	143.6302	133.286	174.4096	175.5952
7897286	200.2239	203.8468	176.5976	205.3517	205.6756	219.1559	186.8245	232.3911	229.7173	202.0809	202.3814	224.4676
7897288	261.8177	273.1678	255.3203	269.3336	297.4588	276.1186	271.4945	311.1511	257.9045	245.4369	296.5111	312.5157
7897293	236.9244	242.5069	270.5936	262.0429	243.8376	237.6213	251.3414	245.0865	270.7826	271.6206	286.1693	270.4146
7897295	121.8973	130.4874	113.9172	118.4836	122.8793	105.1523	117.7551	119.1815	122.1231	117.6098	140.2633	124.165
7897305	148.3393	152.914	153.3952	162.6124	144.1184	141.7752	150.6009	151.1232	146.9545	154.547	165.0378	153.325
7897322	161.7046	174.8799	153.3708	176.5405	181.7581	185.0997	160.1748	175.4286	237.9012	168.1961	169.4883	198.8774
7897329	140.0453	150.0413	140.4183	134.7721	144.2873	134.6783	134.7459	152.345	147.345	145.7985	158.9698	148.812
7897339	110.7616	116.3916	130.2787	107.3193	112.5691	120.2167	139.5416	129.916	124.2951	119.1567	126.9566	123.0717
7897368	64.4084	64.4327	60.2653	63.3754	57.7604	62.2671	61.4551	64.3714	65.774	62.0834	63.6431	68.7068
7897370	1919.7037	1835.7482	1797.8262	2045.7124	1883.5485	1831.1528	1792.2626	2090.2861	1832.9644	1912.0541	1756.6465	2182.2673
7897378	281.1831	306.5912	170.6452	369.4603	289.0473	304.68	190.1783	321.3139	254.858	251.7774	157.9937	293.0695
7897404	2495.2437	2467.5112	2362.925	2437.6978	2120.5444	2131.0322	2312.1846	2130.2173	2244.4358	2195.8115	2061.6729	2111.6724
7897416	134.9518	129.8679	124.3114	124.8668	141.5436	113.5402	116.7698	137.3257	153.1752	122.4448	121.6184	145.5532
7897422	112.197	91.3986	110.5518	98.0725	102.231	91.4819	103.3187	99.6828	101.0665	109.6125	85.6007	102.6316
7897424	93.627	93.7686	90.3022	101.7315	110.1833	102.5581	86.3875	97.5335	95.5377	91.6178	73.7692	102.0337
7897426	87.0822	74.9798	64.6509	84.363	93.3144	94.6623	78.4765	78.8895	79.7875	78.9354	82.4132	80.9766
7897439	96.6204	92.2356	78.6484	106.3792	91.1196	102.9039	80.349	97.5117	95.6605	88.9237	99.402	101.6391
7897441	747.4716	791.0633	476.1747	878.1635	802.6023	843.5591	464.8321	833.8046	761.5474	775.2965	454.9167	726.8973
7897449	292.4715	290.0454	415.9957	338.3125	358.3888	337.5118	463.21	359.6152	334.6375	321.5303	413.1949	354.1784
7897460	209.4066	186.9868	259.7165	201.4998	205.9949	197.2207	235.3196	156.1757	174.0291	211.5367	227.5794	163.2697
