iter	RMSE
0	0.1013578933
1	0.1013005182
2	0.1012432953
3	0.1011650994
4	0.1010896877
5	0.1010134344
6	0.100939499
7	0.1008669198
8	0.1007966571
9	0.1007247925
10	0.1006536982
11	0.1005845722
12	0.1005157383
13	0.1004508335
14	0.1003887663
15	0.100323003
16	0.1002593867
17	0.100201512
18	0.1001398391
19	0.1000782079
20	0.10001858
21	0.09995960492
22	0.09990250937
23	0.09984622946
24	0.09979166795
25	0.09973789075
26	0.0996837005
27	0.09962879588
28	0.09957669949
29	0.09952479861
30	0.09947374302
31	0.09941637958
32	0.09935994768
33	0.09930296183
34	0.0992490619
35	0.099194826
36	0.09914111589
37	0.09909014936
38	0.09904014074
39	0.09899004779
40	0.09893996152
41	0.0988907735
42	0.09884269593
43	0.09879532835
44	0.09874900173
45	0.09870429888
46	0.09865949761
47	0.09861430077
48	0.09857409028
49	0.09853176801
50	0.09849056194
51	0.09844761472
52	0.09840723951
53	0.09836658692
54	0.09832412614
55	0.0982852277
56	0.09824512536
57	0.09820809658
58	0.09816988304
59	0.0981323714
60	0.09809799465
61	0.09806259244
62	0.09802740865
63	0.09799159717
64	0.09795727419
65	0.0979250777
66	0.09789168154
67	0.09786042104
68	0.09782855927
69	0.09779426703
70	0.09776471531
71	0.09773105299
72	0.09769968125
73	0.09766400402
74	0.09763479349
75	0.09759896096
76	0.09756976206
77	0.09753659924
78	0.09750422952
79	0.09747263485
80	0.09744261514
81	0.09741317298
82	0.09738288571
83	0.09735242919
84	0.0973233945
85	0.09729599976
86	0.09726715877
87	0.09724064501
88	0.09721416088
89	0.09718783407
90	0.09716413204
91	0.0971386036
92	0.09711148327
93	0.0970854443
94	0.09705753206
95	0.09703085061
96	0.09700663607
97	0.09698320712
98	0.09695813219
99	0.09693408451
100	0.09690856618
101	0.09688443458
102	0.09686236946
103	0.09683930481
104	0.09681713905
105	0.09679425413
106	0.09677136925
107	0.09675096168
108	0.09672908549
109	0.09671106914
110	0.09668763472
111	0.09666686215
112	0.09664773413
113	0.09662849766
114	0.09660955052
115	0.09659041799
116	0.09657094871
117	0.09655325144
118	0.0965355213
119	0.09651791487
120	0.09649822953
121	0.09648118547
122	0.09646021931
123	0.09644098975
124	0.0964230575
125	0.09640376921
126	0.09638776388
127	0.09637024447
128	0.0963567222
129	0.09634259332
130	0.09632499252
131	0.09630839684
132	0.09629060462
133	0.09627316344
134	0.09625847345
135	0.09624255557
136	0.09622770682
137	0.09621373231
138	0.09619792156
139	0.09618258897
140	0.09617109163
141	0.09615829598
142	0.09614390111
143	0.09612930853
144	0.09611611228
145	0.09610255217
146	0.09608917958
147	0.09607355632
148	0.0960596896
149	0.09604509368
150	0.09603442267
151	0.0960217689
152	0.09600895155
153	0.09599538341
154	0.09598387825
155	0.09597156537
156	0.09595949441
157	0.09594709096
158	0.0959371842
159	0.09592670055
160	0.09591639314
161	0.09590652413
162	0.09589526414
163	0.09588384633
164	0.09587133854
165	0.09586086916
166	0.09585175128
167	0.09583988738
168	0.09582837608
169	0.09581823053
170	0.09580896924
171	0.09579877457
172	0.0957891924
173	0.0957805017
174	0.09577104522
175	0.09576140834
176	0.09575205039
177	0.09574169303
178	0.09572876256
