iter	Passed	Remaining
400	66388	49501
401	67583	50099
402	67643	49851
403	67736	49629
404	68937	50214
405	68988	49957
406	70183	50525
407	71451	51136
408	71517	50884
409	72720	51436
410	72763	51164
411	73998	51726
412	75226	52275
413	76439	52805
414	77662	53334
415	78887	53855
416	80069	54339
417	81273	54830
418	82479	55314
419	82511	55007
420	83748	55500
421	85009	56001
422	85103	55729
423	86336	56200
424	87558	56655
425	88813	57124
426	88890	56831
427	88966	56539
428	90561	57207
429	91860	57679
430	91902	57358
431	93128	57774
432	94333	58168
433	95586	58585
434	96817	58980
435	98067	59380
436	99321	59774
437	100612	60183
438	100674	59854
439	102116	60341
440	103521	60798
441	103565	60452
442	103733	60179
443	105121	60610
444	106582	61075
445	107844	61418
446	109299	61862
447	110657	62244
448	111941	62577
449	113148	62860
450	114531	63233
451	114591	62873
452	115909	63200
453	117175	63491
454	118387	63747
455	119629	64012
456	120880	64275
457	122115	64523
458	123467	64826
459	124882	65155
460	126298	65478
461	127896	65886
462	129266	66168
463	130686	66469
464	132229	66825
465	133630	67102
466	134967	67339
467	136389	67612
468	137895	67918
469	139270	68153
470	140539	68330
471	140635	67934
472	141882	68091
473	143198	68276
474	144649	68518
475	146096	68751
476	146184	68341
477	147770	68629
478	149398	68929
479	149504	68522
480	150928	68717
481	153538	69442
482	155052	69661
483	155086	69212
484	156475	69365
485	156562	68938
486	158064	69132
487	159841	69439
488	159914	69001
489	161750	69321
490	161852	68894
491	161960	68470
492	163829	68788
493	165231	68902
494	165332	68470
495	166896	68642
496	166971	68199
497	167050	67759
498	168470	67860
499	169801	67920
500	171089	67957
501	171185	67519
502	172533	67572
503	172591	67119
504	174004	67189
505	175529	67297
506	175597	66844
507	176933	66872
508	178295	66904
509	179664	66933
510	181032	66957
511	182320	66945
512	182388	66484
513	183647	66456
514	183693	65986
515	184955	65953
516	185018	65489
517	185088	65030
518	186395	65005
519	187665	64961
520	187698	64487
521	188992	64445
522	190274	64395
523	190364	63939
524	191677	63892
525	192964	63832
526	194240	63763
527	194282	63289
528	195801	63293
529	196155	62917
530	197616	62894
531	198986	62837
532	200406	62791
533	200446	62311
534	200459	61824
535	200491	61344
536	201966	61304
537	203347	61231
538	204750	61159
539	204843	60694
540	206264	60621
541	206305	60140
542	207745	60066
543	209189	59988
544	210644	59907
545	212069	59814
546	213515	59721
547	214901	59607
548	216304	59493
549	217677	59366
550	219069	59240
551	219104	58745
552	220451	58601
553	221836	58462
554	223305	58340
555	224710	58198
556	226149	58059
557	227542	57905
558	228871	57729
559	230270	57567
560	231711	57411
561	233188	57259
562	234606	57089
563	236006	56909
564	237420	56728
565	237435	56212
566	238865	56030
567	240307	55846
568	241660	55637
569	242961	55412
570	244328	55198
571	245648	54970
572	246972	54739
573	247023	54224
574	248325	53983
